Gender,Age,EmploymentStatus,NotificationType,Debt,HasPaid
0,63,2,1,300,0
0,49,3,0,263,0
0,29,0,0,908,0
1,32,2,1,300,1
0,31,0,0,360,0
0,40,2,1,600,0
0,51,2,0,400,0
0,50,0,0,415,0
0,36,2,0,466,0
0,27,0,0,149,0
0,35,0,0,1500,0
0,31,3,0,300,0
0,30,2,1,372,0
1,26,2,1,600,0
1,38,0,0,720,0
0,40,2,0,482,0
0,22,0,0,400,0
0,29,2,0,780,0
0,54,2,1,300,0
0,34,0,0,880,0
0,23,0,0,536,0
0,32,0,0,600,0
0,23,0,0,240,0
0,53,2,1,300,0
0,28,0,0,120,0
0,41,0,0,816,0
0,21,2,0,465,1
0,52,0,0,240,0
0,35,0,0,918,0
0,29,0,0,736,0
1,26,2,1,300,0
0,27,0,0,465,0
0,20,2,0,120,0
1,61,0,0,512,0
1,61,0,0,512,0
0,57,2,0,464,1
0,62,2,1,300,0
0,62,2,1,300,0
0,56,0,0,1920,0
1,31,2,1,600,0
0,57,0,0,600,0
0,54,0,0,1256,0
0,42,2,1,240,0
0,22,0,0,1100,0
0,22,0,0,1100,0
0,30,3,0,240,0
0,30,3,0,240,0
0,30,3,0,240,0
0,30,0,0,600,0
0,27,2,1,300,0
0,40,2,0,700,0
1,28,1,0,1100,0
0,57,0,0,1350,0
0,30,0,0,882,0
1,34,2,1,300,0
1,31,2,1,421,0
0,41,2,1,732,0
0,38,2,0,550,1
0,38,2,0,550,1
0,23,0,0,805,0
0,34,0,0,966,0
0,34,0,0,966,0
0,46,1,0,550,0
0,30,0,0,300,0
0,30,0,0,300,0
1,31,2,1,900,1
1,42,2,0,466,1
0,52,3,0,640,1
0,52,3,0,640,0
0,30,0,0,448,0
0,30,0,0,448,0
0,32,0,0,600,0
0,71,0,0,390,0
0,71,0,0,390,0
0,22,0,0,360,0
0,29,0,0,2044,0
0,31,0,0,419,0
0,19,2,0,640,0
0,48,2,0,489,0
0,48,2,0,489,0
0,23,2,0,479,1
0,51,2,1,1100,0
0,65,0,0,1104,0
0,51,0,0,550,0
0,32,2,0,300,1
0,53,2,0,512,0
1,28,0,0,486,0
0,31,0,0,600,0
0,52,0,0,698,0
0,26,7,0,480,1
0,60,2,0,2248,1
0,52,0,0,1431,0
0,36,2,1,900,0
0,29,0,0,830,0
0,52,2,1,240,0
0,28,0,0,728,0
0,38,3,0,711,1
1,57,2,0,256,0
0,35,0,0,600,0
0,20,0,0,662,1
0,29,0,0,1152,0
0,50,2,0,456,1
0,53,0,0,267,0
1,50,4,0,142,0
0,34,0,0,692,0
0,54,2,0,778,0
1,29,0,0,314,1
0,54,0,0,300,0
0,63,3,0,240,0
0,63,3,0,240,0
1,25,2,1,300,0
0,40,3,0,480,0
0,37,2,1,1368,0
1,22,2,0,550,0
0,22,2,1,300,1
1,20,2,0,300,0
0,57,1,0,550,0
0,30,0,0,700,0
1,32,2,0,300,0
0,32,0,0,369,0
0,43,0,0,300,0
1,39,0,0,384,0
0,48,0,0,746,0
0,48,0,0,746,0
0,32,2,1,586,0
0,57,0,0,1500,0
0,30,2,1,300,0
1,24,2,1,550,0
0,27,0,0,360,1
0,45,0,0,704,0
0,57,0,0,1587,0
0,46,4,0,175,1
0,28,5,0,240,0
0,34,2,0,384,0
0,19,0,0,732,1
0,38,2,1,300,0
0,41,2,1,424,0
0,63,2,0,416,0
0,46,2,0,384,0
0,21,0,0,344,1
0,24,0,0,300,0
0,26,1,0,1516,0
0,36,2,1,175,0
0,61,2,0,263,0
0,23,0,0,235,0
0,57,6,0,300,1
0,57,6,0,300,1
0,23,2,1,240,0
1,69,0,0,390,0
0,40,0,0,550,1
0,55,0,0,300,0
0,28,2,0,120,1
0,28,2,0,120,1
0,62,2,0,477,0
0,44,4,0,175,0
0,44,2,1,424,0
0,30,0,0,720,0
0,30,0,0,720,0
0,46,2,0,550,1
1,29,2,0,442,0
0,41,2,0,454,0
0,25,0,0,752,1
1,26,0,0,692,0
0,49,3,0,350,0
0,38,3,0,415,0
0,48,0,0,300,0
1,30,0,0,384,0
0,26,0,0,902,1
0,26,2,0,513,0
0,65,2,0,1368,0
0,27,2,1,300,1
0,42,2,1,300,0
0,30,0,0,400,1
0,39,2,1,600,1
0,39,2,1,600,1
0,30,2,1,600,0
0,29,0,0,415,0
0,36,0,0,864,0
1,36,0,0,550,0
0,60,3,0,314,1
0,26,0,0,800,0
1,37,2,1,600,0
1,44,2,1,1100,1
1,34,0,0,400,0
1,33,2,1,600,0
0,43,2,1,300,0
0,26,2,1,492,0
0,35,2,0,464,0
0,24,0,0,400,0
0,23,2,1,398,1
0,50,2,1,415,0
0,39,0,0,600,1
0,29,0,0,600,0
0,29,2,0,400,0
1,28,2,0,736,1
0,24,0,0,389,0
0,39,0,0,314,0
1,31,2,1,846,0
1,33,2,1,300,0
0,48,2,0,964,0
0,48,2,0,964,0
0,46,0,0,600,0
0,28,2,1,550,0
0,28,3,0,120,0
0,47,2,0,501,0
0,29,0,0,448,0
0,44,3,0,120,0
0,27,2,1,648,0
0,48,1,0,550,0
0,46,2,1,300,0
0,26,0,0,681,0
0,43,0,0,864,0
0,61,2,0,240,0
0,36,2,1,700,0
0,29,0,0,525,0
0,35,0,0,300,0
0,38,2,1,470,0
0,53,2,0,176,0
0,60,2,1,300,0
0,36,2,1,700,0
1,25,0,0,300,1
1,40,0,0,519,0
0,53,2,0,454,0
0,27,2,0,550,0
0,25,2,1,394,0
0,25,0,0,300,0
0,59,2,0,928,0
0,47,2,1,300,1
0,20,2,0,393,1
0,20,2,0,393,1
0,22,2,1,946,0
0,55,0,0,1212,0
